,Store,Brand,Link,Image,ShortName,Currency,Keyword,Name,Description,Price,Size,Composition
0,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
1,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
2,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
3,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
4,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
5,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
6,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
7,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
8,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
9,WoolWareHouse,DMC,https://www.woolwarehouse.co.uk/yarn/dmc-natura-xl-all-colours,https://www.woolwarehouse.co.uk/media/catalog/product/cache/1/small_image/150x100/9df78eab33525d08d6e5fb8d27136e95/d/m/dm_naturaxl_09_0_3.jpg,DMC Natura XL - All Colours,£,Natura XL,					DMC Natura XL - All Colours				,"A thicker version of their popular Natura range, DMC's Natura XL is available in a fantastic range of colours, from pastels and natural shades, to more intense, bold colours. A thicker thread makes for much faster projects, ideal for accessories and home decoration. With its great volume and light and flexible texture, you can create pieces with beautiful structure.",5.29,8mm ,100% Cotton
